"名前","値","許可された値","変更可能","送信元","適用タイプ","データ型","説明","ApplyMethod","MinimumEngineVersion"
"automatic_sp_privileges",,"0,1",true,"engine-default","dynamic","boolean","When this variable has a value of 1 (the default), the server automatically grants the EXECUTE and ALTER ROUTINE privileges to the creator of a stored routine, if the user cannot already execute and alter or drop the routine.","pending-reboot",
"aws_default_lambda_role",,,true,"engine-default","dynamic","string","Default IAM role ARN used to access AWS Lambda Service","pending-reboot",
"aws_default_logs_role",,,true,"engine-default","dynamic","string","Arn for the role used to upload data to CloudWatch Logs","immediate",
"aws_default_s3_role",,,true,"engine-default","dynamic","string","Default IAM role ARN used to access AWS S3","pending-reboot",
"back_log",,"1-65535",true,"engine-default","static","integer","The number of outstanding connection requests MySQL can have","pending-reboot",
"basedir","/rdsdbbin/oscar",,false,"system","static","string","The MySQL installation base directory.","pending-reboot",
"binlog_cache_size","32768","4096-18446744073709547520",true,"system","dynamic","integer","The size of the cache to hold the SQL statements for the binary log during a transaction.","pending-reboot",
"binlog_checksum",,"NONE,CRC32",true,"engine-default","dynamic","string","When enabled, this variable causes the master to write a checksum for each event in the binary log.","pending-reboot",
"binlog_format","OFF","ROW,STATEMENT,MIXED,OFF",true,"system","static","string","Binary logging format for replication","pending-reboot",
"binlog_max_flush_queue_time",,"0-100000",true,"engine-default","dynamic","integer","How long in microseconds to keep reading transactions from the flush queue before proceeding with the group commit (and syncing the log to disk, if sync_binlog is greater than 0). If the value is 0 (the default), there is no timeout and the server keeps reading new transactions until the queue is empty.","pending-reboot",
"binlog_order_commits",,"0,1",true,"engine-default","dynamic","boolean","If this variable is enabled (the default), transactions are committed in the same order they are written to the binary log. If disabled, transactions may be committed in parallel.","pending-reboot",
"binlog_row_image",,"full,minimal,noblob",true,"engine-default","dynamic","string","Whether the server logs full or minimal rows with row-based replication.","pending-reboot",
"binlog_rows_query_log_events",,"0,1",true,"engine-default","dynamic","boolean","When enabled, it causes a MySQL 5.6.2 or later server to write informational log events such as row query log events into its binary log.","pending-reboot",
"binlog_stmt_cache_size",,"4096-18446744073709547520",true,"engine-default","dynamic","integer","This variable determines the size of the cache for the binary log to hold nontransactional statements issued during a transaction.","pending-reboot",
"bulk_insert_buffer_size",,"0-18446744073709547520",true,"engine-default","dynamic","integer","Limits the size of the MyISAM cache tree in bytes per thread.","pending-reboot",
"character_set_client",,"big5,dec8,cp850,hp8,koi8r,latin1,latin2,swe7,ascii,ujis,sjis,hebrew,tis620,euckr,koi8u,gb2312,greek,cp1250,gbk,latin5,armscii8,utf8,cp866,keybcs2,macce,macroman,cp852,latin7,utf8mb4,cp1251,cp1256,cp1257,binary,geostd8,cp932,eucjpms",true,"engine-default","dynamic","string","The character set for statements that arrive from the client.","pending-reboot",
"character-set-client-handshake",,"0,1",true,"engine-default","static","boolean","Don't ignore character set information sent by the client.","pending-reboot",
"character_set_connection",,"big5,dec8,cp850,hp8,koi8r,latin1,latin2,swe7,ascii,ujis,sjis,hebrew,tis620,euckr,koi8u,gb2312,greek,cp1250,gbk,latin5,armscii8,utf8,ucs2,cp866,keybcs2,macce,macroman,cp852,latin7,utf8mb4,cp1251,utf16,cp1256,cp1257,utf32,binary,geostd8,cp932,eucjpms",true,"engine-default","dynamic","string","The character set used for literals that do not have a character set introducer and for number-to-string conversion.","pending-reboot",
"character_set_database",,"big5,dec8,cp850,hp8,koi8r,latin1,latin2,swe7,ascii,ujis,sjis,hebrew,tis620,euckr,koi8u,gb2312,greek,cp1250,gbk,latin5,armscii8,utf8,ucs2,cp866,keybcs2,macce,macroman,cp852,latin7,utf8mb4,cp1251,utf16,cp1256,cp1257,utf32,binary,geostd8,cp932,eucjpms",true,"engine-default","dynamic","string","The character set used by the default database.","pending-reboot",
"character_set_filesystem",,"big5,dec8,cp850,hp8,koi8r,latin1,latin2,swe7,ascii,ujis,sjis,hebrew,tis620,euckr,koi8u,gb2312,greek,cp1250,gbk,latin5,armscii8,utf8,ucs2,cp866,keybcs2,macce,macroman,cp852,latin7,utf8mb4,cp1251,utf16,cp1256,cp1257,utf32,binary,geostd8,cp932,eucjpms",true,"engine-default","dynamic","string","The file system character set.","pending-reboot",
"character_set_results",,"big5,dec8,cp850,hp8,koi8r,latin1,latin2,swe7,ascii,ujis,sjis,hebrew,tis620,euckr,koi8u,gb2312,greek,cp1250,gbk,latin5,armscii8,utf8,ucs2,cp866,keybcs2,macce,macroman,cp852,latin7,utf8mb4,cp1251,utf16,cp1256,cp1257,utf32,binary,geostd8,cp932,eucjpms",true,"engine-default","dynamic","string","The character set used for returning query results to the client.","pending-reboot",
"character_set_server",,"big5,dec8,cp850,hp8,koi8r,latin1,latin2,swe7,ascii,ujis,sjis,hebrew,tis620,euckr,koi8u,gb2312,greek,cp1250,gbk,latin5,armscii8,utf8,ucs2,cp866,keybcs2,macce,macroman,cp852,latin7,utf8mb4,cp1251,utf16,cp1256,cp1257,utf32,binary,geostd8,cp932,eucjpms",true,"engine-default","dynamic","string","The server's default character set.","pending-reboot",
"collation_connection",,"big5_chinese_ci,big5_bin,dec8_swedish_ci,dec8_bin,cp850_general_ci,cp850_bin,hp8_english_ci,hp8_bin,koi8r_general_ci,koi8r_bin,latin1_german1_ci,latin1_swedish_ci,latin1_danish_ci,latin1_german2_ci,latin1_bin,latin1_general_ci,latin1_general_cs,latin1_spanish_ci,latin2_czech_cs,latin2_general_ci,latin2_hungarian_ci,latin2_croatian_ci,latin2_bin,swe7_swedish_ci,swe7_bin,ascii_general_ci,ascii_bin,ujis_japanese_ci,ujis_bin,sjis_japanese_ci,sjis_bin,hebrew_general_ci,hebrew_bin,tis620_thai_ci,tis620_bin,euckr_korean_ci,euckr_bin,koi8u_general_ci,koi8u_bin,gb2312_chinese_ci,gb2312_bin,greek_general_ci,greek_bin,cp1250_general_ci,cp1250_czech_cs,cp1250_croatian_ci,cp1250_bin,cp1250_polish_ci,gbk_chinese_ci,gbk_bin,latin5_turkish_ci,latin5_bin,armscii8_general_ci,armscii8_bin,utf8_general_ci,utf8_bin,utf8_unicode_ci,utf8_icelandic_ci,utf8_latvian_ci,utf8_romanian_ci,utf8_slovenian_ci,utf8_polish_ci,utf8_estonian_ci,utf8_spanish_ci,utf8_swedish_ci,utf8_turkish_ci,utf8_czech_ci,utf8_danish_ci,utf8_lithuanian_ci,utf8_slovak_ci,utf8_spanish2_ci,utf8_roman_ci,utf8_persian_ci,utf8_esperanto_ci,utf8_hungarian_ci,utf8_sinhala_ci,ucs2_general_ci,ucs2_bin,ucs2_unicode_ci,ucs2_icelandic_ci,ucs2_latvian_ci,ucs2_romanian_ci,ucs2_slovenian_ci,ucs2_polish_ci,ucs2_estonian_ci,ucs2_spanish_ci,ucs2_swedish_ci,ucs2_turkish_ci,ucs2_czech_ci,ucs2_danish_ci,ucs2_lithuanian_ci,ucs2_slovak_ci,ucs2_spanish2_ci,ucs2_roman_ci,ucs2_persian_ci,ucs2_esperanto_ci,ucs2_hungarian_ci,ucs2_sinhala_ci,cp866_general_ci,cp866_bin,keybcs2_general_ci,keybcs2_bin,macce_general_ci,macce_bin,macroman_general_ci,macroman_bin,cp852_general_ci,cp852_bin,latin7_estonian_cs,latin7_general_ci,latin7_general_cs,latin7_bin,utf8mb4_general_ci,utf8mb4_bin,utf8mb4_unicode_ci,utf8mb4_icelandic_ci,utf8mb4_latvian_ci,utf8mb4_romanian_ci,utf8mb4_slovenian_ci,utf8mb4_polish_ci,utf8mb4_estonian_ci,utf8mb4_spanish_ci,utf8mb4_swedish_ci,utf8mb4_turkish_ci,utf8mb4_czech_ci,utf8mb4_danish_ci,utf8mb4_lithuanian_ci,utf8mb4_slovak_ci,utf8mb4_spanish2_ci,utf8mb4_roman_ci,utf8mb4_persian_ci,utf8mb4_esperanto_ci,utf8mb4_hungarian_ci,utf8mb4_sinhala_ci,cp1251_bulgarian_ci,cp1251_ukrainian_ci,cp1251_bin,cp1251_general_ci,cp1251_general_cs,utf16_general_ci,utf16_bin,utf16_unicode_ci,utf16_icelandic_ci,utf16_latvian_ci,utf16_romanian_ci,utf16_slovenian_ci,utf16_polish_ci,utf16_estonian_ci,utf16_spanish_ci,utf16_swedish_ci,utf16_turkish_ci,utf16_czech_ci,utf16_danish_ci,utf16_lithuanian_ci,utf16_slovak_ci,utf16_spanish2_ci,utf16_roman_ci,utf16_persian_ci,utf16_esperanto_ci,utf16_hungarian_ci,utf16_sinhala_ci,cp1256_general_ci,cp1256_bin,cp1257_lithuanian_ci,cp1257_bin,cp1257_general_ci,utf32_general_ci,utf32_bin,utf32_unicode_ci,utf32_icelandic_ci,utf32_latvian_ci,utf32_romanian_ci,utf32_slovenian_ci,utf32_polish_ci,utf32_estonian_ci,utf32_spanish_ci,utf32_swedish_ci,utf32_turkish_ci,utf32_czech_ci,utf32_danish_ci,utf32_lithuanian_ci,utf32_slovak_ci,utf32_spanish2_ci,utf32_roman_ci,utf32_persian_ci,utf32_esperanto_ci,utf32_hungarian_ci,utf32_sinhala_ci,binary,geostd8_general_ci,geostd8_bin,cp932_japanese_ci,cp932_bin,eucjpms_japanese_ci,eucjpms_bin",true,"engine-default","dynamic","string","The collation of the connection character set.","pending-reboot",
"collation_server",,"big5_chinese_ci,big5_bin,dec8_swedish_ci,dec8_bin,cp850_general_ci,cp850_bin,hp8_english_ci,hp8_bin,koi8r_general_ci,koi8r_bin,latin1_german1_ci,latin1_swedish_ci,latin1_danish_ci,latin1_german2_ci,latin1_bin,latin1_general_ci,latin1_general_cs,latin1_spanish_ci,latin2_czech_cs,latin2_general_ci,latin2_hungarian_ci,latin2_croatian_ci,latin2_bin,swe7_swedish_ci,swe7_bin,ascii_general_ci,ascii_bin,ujis_japanese_ci,ujis_bin,sjis_japanese_ci,sjis_bin,hebrew_general_ci,hebrew_bin,tis620_thai_ci,tis620_bin,euckr_korean_ci,euckr_bin,koi8u_general_ci,koi8u_bin,gb2312_chinese_ci,gb2312_bin,greek_general_ci,greek_bin,cp1250_general_ci,cp1250_czech_cs,cp1250_croatian_ci,cp1250_bin,cp1250_polish_ci,gbk_chinese_ci,gbk_bin,latin5_turkish_ci,latin5_bin,armscii8_general_ci,armscii8_bin,utf8_general_ci,utf8_bin,utf8_unicode_ci,utf8_icelandic_ci,utf8_latvian_ci,utf8_romanian_ci,utf8_slovenian_ci,utf8_polish_ci,utf8_estonian_ci,utf8_spanish_ci,utf8_swedish_ci,utf8_turkish_ci,utf8_czech_ci,utf8_danish_ci,utf8_lithuanian_ci,utf8_slovak_ci,utf8_spanish2_ci,utf8_roman_ci,utf8_persian_ci,utf8_esperanto_ci,utf8_hungarian_ci,utf8_sinhala_ci,ucs2_general_ci,ucs2_bin,ucs2_unicode_ci,ucs2_icelandic_ci,ucs2_latvian_ci,ucs2_romanian_ci,ucs2_slovenian_ci,ucs2_polish_ci,ucs2_estonian_ci,ucs2_spanish_ci,ucs2_swedish_ci,ucs2_turkish_ci,ucs2_czech_ci,ucs2_danish_ci,ucs2_lithuanian_ci,ucs2_slovak_ci,ucs2_spanish2_ci,ucs2_roman_ci,ucs2_persian_ci,ucs2_esperanto_ci,ucs2_hungarian_ci,ucs2_sinhala_ci,cp866_general_ci,cp866_bin,keybcs2_general_ci,keybcs2_bin,macce_general_ci,macce_bin,macroman_general_ci,macroman_bin,cp852_general_ci,cp852_bin,latin7_estonian_cs,latin7_general_ci,latin7_general_cs,latin7_bin,utf8mb4_general_ci,utf8mb4_bin,utf8mb4_unicode_ci,utf8mb4_icelandic_ci,utf8mb4_latvian_ci,utf8mb4_romanian_ci,utf8mb4_slovenian_ci,utf8mb4_polish_ci,utf8mb4_estonian_ci,utf8mb4_spanish_ci,utf8mb4_swedish_ci,utf8mb4_turkish_ci,utf8mb4_czech_ci,utf8mb4_danish_ci,utf8mb4_lithuanian_ci,utf8mb4_slovak_ci,utf8mb4_spanish2_ci,utf8mb4_roman_ci,utf8mb4_persian_ci,utf8mb4_esperanto_ci,utf8mb4_hungarian_ci,utf8mb4_sinhala_ci,cp1251_bulgarian_ci,cp1251_ukrainian_ci,cp1251_bin,cp1251_general_ci,cp1251_general_cs,utf16_general_ci,utf16_bin,utf16_unicode_ci,utf16_icelandic_ci,utf16_latvian_ci,utf16_romanian_ci,utf16_slovenian_ci,utf16_polish_ci,utf16_estonian_ci,utf16_spanish_ci,utf16_swedish_ci,utf16_turkish_ci,utf16_czech_ci,utf16_danish_ci,utf16_lithuanian_ci,utf16_slovak_ci,utf16_spanish2_ci,utf16_roman_ci,utf16_persian_ci,utf16_esperanto_ci,utf16_hungarian_ci,utf16_sinhala_ci,cp1256_general_ci,cp1256_bin,cp1257_lithuanian_ci,cp1257_bin,cp1257_general_ci,utf32_general_ci,utf32_bin,utf32_unicode_ci,utf32_icelandic_ci,utf32_latvian_ci,utf32_romanian_ci,utf32_slovenian_ci,utf32_polish_ci,utf32_estonian_ci,utf32_spanish_ci,utf32_swedish_ci,utf32_turkish_ci,utf32_czech_ci,utf32_danish_ci,utf32_lithuanian_ci,utf32_slovak_ci,utf32_spanish2_ci,utf32_roman_ci,utf32_persian_ci,utf32_esperanto_ci,utf32_hungarian_ci,utf32_sinhala_ci,binary,geostd8_general_ci,geostd8_bin,cp932_japanese_ci,cp932_bin,eucjpms_japanese_ci,eucjpms_bin",true,"engine-default","dynamic","string","The server's default collation.","pending-reboot",
"completion_type",,"0-2",true,"engine-default","dynamic","integer","The transaction completion type (0 - default, 1 - chain, 2 - release)","pending-reboot",
"concurrent_insert",,"0-2",true,"engine-default","dynamic","integer","Allows INSERT and SELECT statements to run concurrently for MyISAM tables that have no free blocks in the middle of the data file.","pending-reboot",
"connect_timeout",,"2-31536000",true,"engine-default","dynamic","integer","The number of seconds that the MySQLd  server waits for a connect packet before responding with Bad handshake.","pending-reboot",
"core-file",,"0,1",false,"engine-default","static","boolean","Write a core file if mysqld dies.","pending-reboot",
"datadir","/rdsdbdata/db/",,false,"system","static","string","MySQL data directory","pending-reboot",
"default_storage_engine","InnoDB","InnoDB,MRG_MYISAM,BLACKHOLE,CSV,MEMORY,FEDERATED,ARCHIVE,MyISAM",false,"system","dynamic","string","The default storage engine (table type).","pending-reboot",
"default_time_zone",,,false,"engine-default","static","string","Server current time zone","pending-reboot",
"default_tmp_storage_engine","InnoDB","InnoDB,MyISAM",true,"system","static","string","The default storage engine for TEMPORARY tables.","pending-reboot",
"default_week_format",,"0-7",true,"engine-default","dynamic","integer","The default mode value to use for the WEEK() function.","pending-reboot",
"delayed_insert_limit",,"1-9223372036854775807",true,"engine-default","dynamic","integer","After inserting delayed_insert_limit delayed rows, the INSERT DELAYED handler thread checks whether there are any SELECT statements pending. If so, it allows them to execute before continuing to insert delayed rows.","pending-reboot",
"delayed_insert_timeout",,"1-31536000",true,"engine-default","dynamic","integer","How many seconds an INSERT DELAYED handler thread should wait for INSERT statements before terminating.","pending-reboot",
"delayed_queue_size",,"1-9223372036854775807",true,"engine-default","dynamic","integer","If the queue becomes full, any client that issues an INSERT DELAYED statement waits until there is room in the queue again.","pending-reboot",
"delay_key_write",,"OFF,ON,ALL",true,"engine-default","dynamic","string","Determines when keys are flushed for MyISAM tables","pending-reboot",
"div_precision_increment",,"0-30",true,"engine-default","dynamic","integer","Number of digits by which to increase the scale of the result of division operations.","pending-reboot",
"end_markers_in_json",,"0,1",true,"engine-default","dynamic","boolean","Whether optimizer JSON output should add end markers.","pending-reboot",
"enforce_gtid_consistency",,"0,1",false,"engine-default","static","boolean","When this variable is true, execution is allowed of only those statements that can be logged in a transactionally safe manner.","pending-reboot",
"eq_range_index_dive_limit",,"0-4294967295",true,"engine-default","dynamic","integer","Number of equality ranges when the optimizer should switch from using index dives to index statistics.","pending-reboot",
"event_scheduler",,"ON,OFF",true,"engine-default","dynamic","string","Indicates the status of the Event Scheduler","pending-reboot",
"explicit_defaults_for_timestamp","1","0,1",true,"system","static","boolean","Needed for 5.6.7","pending-reboot",
"flush",,"0,1",false,"engine-default","dynamic","boolean","If ON, the server flushes all changes to disk after each SQL statement.","pending-reboot",
"flush_time",,"0-31536000",true,"engine-default","dynamic","integer","Frees up resources and synchronize unflushed data to disk. Recommended only on systems with minimal resources.","pending-reboot",
"ft_boolean_syntax",,,false,"engine-default","dynamic","string","The list of operators supported by boolean full-text searches","pending-reboot",
"ft_max_word_len",,"10-84",true,"engine-default","static","integer","Maximum length of the word to be included in a FULLTEXT index.","pending-reboot",
"ft_min_word_len",,"1-84",true,"engine-default","static","integer","Minimum length of the word to be included in a FULLTEXT index.","pending-reboot",
"ft_query_expansion_limit",,"0-1000",true,"engine-default","static","integer","Number of top matches to use for full-text searches performed using WITH QUERY EXPANSION.","pending-reboot",
"ft_stopword_file",,"/dev/null",true,"engine-default","static","string","File for Full Search Stop Words. NULL uses Default, /dev/null to disable Stop Words","pending-reboot",
"general_log",,"0,1",true,"engine-default","dynamic","boolean","Whether the general query log is enabled","pending-reboot",
"general_log_file","/rdsdbdata/log/general/mysql-general.log",,false,"system","dynamic","string","Location of mysql general log.","pending-reboot",
"group_concat_max_len",,"4-18446744073709547520",true,"engine-default","dynamic","integer","Maximum allowed result length in bytes for the GROUP_CONCAT().","pending-reboot",
"gtid-mode","OFF","OFF,ON",false,"system","static","string","This option specifies whether GTIDs are enabled","pending-reboot",
"host_cache_size",,"0-65536",true,"engine-default","dynamic","integer","The size of the internal host cache.","pending-reboot",
"init_connect",,,true,"engine-default","dynamic","string","String to be executed by the server for each client that connects.","pending-reboot",
"innodb_adaptive_flushing",,"0,1",true,"engine-default","dynamic","boolean","Enables InnoDB Adaptive Flushing (default=on for RDS)","pending-reboot",
"innodb_adaptive_hash_index","0","0,1",true,"system","dynamic","boolean","Whether innodb adaptive hash indexes are enabled or disabled","pending-reboot",
"innodb_adaptive_max_sleep_delay",,"0-1000000",true,"engine-default","dynamic","integer","Allows InnoDB to automatically adjust the value of innodb_thread_concurrency up or down according to the current workload.","pending-reboot",
"innodb_autoextend_increment",,"1-1000",true,"engine-default","dynamic","integer","The increment size (in MB) for extending the size of an auto-extending tablespace file when it becomes full","pending-reboot",
"innodb_autoinc_lock_mode",,"0-2",true,"engine-default","static","integer","The locking mode to use for generating auto-increment values","pending-reboot",
"innodb_buffer_pool_dump_at_shutdown",,"0,1",false,"engine-default","dynamic","boolean","Specifies whether to record the pages cached in the InnoDB buffer pool when the MySQL server is shut down.","pending-reboot",
"innodb_buffer_pool_dump_now",,"0,1",false,"engine-default","dynamic","boolean","Immediately records the pages cached in the InnoDB buffer pool.","pending-reboot",
"innodb_buffer_pool_filename",,,false,"engine-default","dynamic","string","Specifies the file that holds the list of page numbers produced by innodb_buffer_pool_dump_at_shutdown or innodb_buffer_pool_dump_now.","pending-reboot",
"innodb_buffer_pool_load_abort",,"0,1",false,"engine-default","dynamic","boolean","Interrupts the process of restoring InnoDB buffer pool contents triggered by innodb_buffer_pool_load_at_startup or innodb_buffer_pool_load_now.","pending-reboot",
"innodb_buffer_pool_load_at_startup",,"0,1",false,"engine-default","static","boolean","Specifies that, on MySQL server startup, the InnoDB buffer pool is automatically warmed up by loading the same pages it held at an earlier time.","pending-reboot",
"innodb_buffer_pool_load_now",,"0,1",false,"engine-default","dynamic","boolean","Immediately warms up the InnoDB buffer pool by loading a set of data pages, without waiting for a server restart. ","pending-reboot",
"innodb_buffer_pool_size","{DBInstanceClassMemory*3/4}","67108864-9223372036854775807",true,"system","static","integer","The size in bytes of the memory buffer innodb uses to cache data and indexes of its tables","pending-reboot",
"innodb_change_buffer_max_size",,"0-50",false,"engine-default","dynamic","integer","Maximum size for the InnoDB change buffer, as a percentage of the total size of the buffer pool.","pending-reboot",
"innodb_checksum_algorithm","none","crc32,innodb,none,strict_crc32,strict_innodb,strict_none",false,"system","dynamic","string","Specifies how to generate and verify the checksum stored in each disk block of each InnoDB tablespace.","pending-reboot",
"innodb_checksums","0","0",false,"system","static","boolean","InnoDB checksums serve no purpose in Oscar","pending-reboot",
"innodb_cmp_per_index_enabled",,"0,1",true,"engine-default","dynamic","boolean","Enables per-index compression-related statistics in the INFORMATION_SCHEMA.INNODB_CMP_PER_INDEX table.","pending-reboot",
"innodb_commit_concurrency",,"0-1000",true,"engine-default","static","integer","The number of threads that can commit at the same time.","pending-reboot",
"innodb_compression_failure_threshold_pct",,"0-100",true,"engine-default","dynamic","integer","Sets the cutoff point at which MySQL begins adding padding within compressed pages to avoid expensive compression failures.","pending-reboot",
"innodb_compression_level",,"0-9",true,"engine-default","dynamic","integer","Sets the cutoff point at which MySQL begins adding padding within compressed pages to avoid expensive compression failures.","pending-reboot",
"innodb_compression_pad_pct_max",,"0-75",true,"engine-default","dynamic","integer","Specifies the maximum percentage that can be reserved as free space within each compressed page, allowing room to reorganize the data and modification log within the page when a compressed table or index is updated and the data might be recompressed.","pending-reboot",
"innodb_concurrency_tickets",,"1-4294967295",true,"engine-default","dynamic","integer","Number of times a thread can enter and leave Innodb before it is subject to innodb-thread-concurrency","pending-reboot",
"innodb_data_home_dir",,,false,"system","static","string","Directory where innodb files are stored","pending-reboot",
"innodb_doublewrite","0","0",false,"system","static","boolean","InnoDB doublewrite must be disabled in Oscar","pending-reboot",
"innodb_file_format",,"Antelope,Barracuda",true,"engine-default","dynamic","string","Sets InnoDB Plug-in default file format.","pending-reboot",
"innodb_file_per_table",,"0,1",true,"engine-default","static","boolean","Use tablespaces or files for Innodb.","pending-reboot",
"innodb_flushing_avg_loops",,"1-1000",false,"engine-default","dynamic","integer","Number of iterations for which InnoDB keeps the previously calculated snapshot of the flushing state, controlling how quickly adaptive flushing responds to changing workloads.","pending-reboot",
"innodb_flush_log_at_timeout",,"0-2700",false,"engine-default","dynamic","integer","Write and flush the logs every N seconds. This setting has an effect only when innodb_flush_log_at_trx_commit has a value of 2.","pending-reboot",
"innodb_flush_log_at_trx_commit",,"0-2",true,"engine-default","dynamic","integer","Determines Innodb transaction durability","pending-reboot",
"innodb_flush_method","O_DIRECT","O_DIRECT",true,"system","static","string","Determines Innodb flush method","pending-reboot",
"innodb_flush_neighbors",,"0-2",false,"engine-default","dynamic","integer","Specifies whether flushing a page from the InnoDB buffer pool also flushes other dirty pages in the same extent.","pending-reboot",
"innodb_force_load_corrupted",,"0,1",false,"engine-default","static","boolean","Lets InnoDB load tables at startup that are marked as corrupted","pending-reboot",
"innodb_ft_aux_table",,,true,"engine-default","dynamic","string","Specifies the qualified name of an InnoDB table containing a FULLTEXT index.","pending-reboot",
"innodb_ft_cache_size",,"0-4294967295",true,"engine-default","static","integer","Size of the cache that holds a parsed document in memory while creating an InnoDB FULLTEXT index.","pending-reboot",
"innodb_ft_enable_stopword",,"0,1",true,"engine-default","dynamic","boolean","Specifies that a set of stopwords is associated with an InnoDB FULLTEXT index at the time the index is created.","pending-reboot",
"innodb_ft_max_token_size",,"10-252",true,"engine-default","static","integer","Maximum length of words that are stored in an InnoDB FULLTEXT index.","pending-reboot",
"innodb_ft_min_token_size",,"0-16",true,"engine-default","static","integer","Minimum length of words that are stored in an InnoDB FULLTEXT index.","pending-reboot",
"innodb_ft_num_word_optimize",,"1-4294967295",true,"engine-default","dynamic","integer","Number of words to process during each OPTIMIZE TABLE operation on an InnoDB FULLTEXT index.","pending-reboot",
"innodb_ft_server_stopword_table",,,true,"engine-default","dynamic","string","Name of the table containing a list of words to ignore when creating an InnoDB FULLTEXT index, in the format db_name/table_name.","pending-reboot",
"innodb_ft_sort_pll_degree",,"1-32",true,"engine-default","static","integer","Number of threads used in parallel to index and tokenize text in an InnoDB FULLTEXT index, when building a search index for a large table.","pending-reboot",
"innodb_ft_user_stopword_table",,,true,"engine-default","dynamic","string","Name of the table containing a list of words to ignore when creating an InnoDB FULLTEXT index, in the format db_name/table_name.","pending-reboot",
"innodb_io_capacity",,"100-18446744073709551615",false,"engine-default","dynamic","integer","The maximum number of I/O operations per second that InnoDB will perform.","pending-reboot",
"innodb_io_capacity_max",,"2000-18446744073709547520",false,"engine-default","dynamic","integer","The limit up to which InnoDB is allowed to extend the innodb_io_capacity setting in case of emergency.","pending-reboot",
"innodb_large_prefix",,"0,1",true,"engine-default","dynamic","boolean","Enables or disables Innodb Large Prefix for Keys","pending-reboot",
"innodb_lock_wait_timeout",,"1-1073741824",true,"engine-default","dynamic","integer","Timeout in seconds an innodb transaction may wait for a row lock before giving up","pending-reboot",
"innodb_log_compressed_pages",,"0,1",false,"engine-default","dynamic","boolean","Specifies whether images of re-compressed pages are stored in InnoDB redo logs. ","pending-reboot",
