"名前","値","許可された値","変更可能","送信元","適用タイプ","データ型","説明","ApplyMethod","MinimumEngineVersion"
"concurrent_insert",,"0-2",true,"engine-default","dynamic","integer","Allows INSERT and SELECT statements to run concurrently for MyISAM tables that have no free blocks in the middle of the data file.","pending-reboot",
"connect_timeout",,"2-31536000",true,"engine-default","dynamic","integer","The number of seconds that the MySQLd  server waits for a connect packet before responding with Bad handshake.","pending-reboot",
"core-file",,"0,1",false,"engine-default","static","boolean","Write a core file if mysqld dies.","pending-reboot",
"cte_max_recursion_depth",,"0-4294967295",true,"engine-default","dynamic","integer","Abort a recursive common table expression if it does more than this number of iterations.","pending-reboot",
"datadir","/rdsdbdata/db/",,false,"system","static","string","MySQL data directory","pending-reboot",
"default_authentication_plugin","mysql_native_password","mysql_native_password,sha256_password,caching_sha2_password",false,"engine-default","static","string","The default authentication plugin","pending-reboot",
"default_time_zone",,,false,"engine-default","static","string","Server current time zone","pending-reboot",
"default_tmp_storage_engine","InnoDB","InnoDB,MyISAM",true,"system","static","string","The default storage engine for TEMPORARY tables.","pending-reboot",
"default_week_format",,"0-7",true,"engine-default","dynamic","integer","The default mode value to use for the WEEK() function.","pending-reboot",
"delayed_insert_limit",,"1-9223372036854775807",true,"engine-default","dynamic","integer","After inserting delayed_insert_limit delayed rows, the INSERT DELAYED handler thread checks whether there are any SELECT statements pending. If so, it allows them to execute before continuing to insert delayed rows.","pending-reboot",
"delayed_insert_timeout",,"1-31536000",true,"engine-default","dynamic","integer","How many seconds an INSERT DELAYED handler thread should wait for INSERT statements before terminating.","pending-reboot",
"delayed_queue_size",,"1-9223372036854775807",true,"engine-default","dynamic","integer","If the queue becomes full, any client that issues an INSERT DELAYED statement waits until there is room in the queue again.","pending-reboot",
"delay_key_write",,"OFF,ON,ALL",true,"engine-default","dynamic","string","Determines when keys are flushed for MyISAM tables","pending-reboot",
"div_precision_increment",,"0-30",true,"engine-default","dynamic","integer","Number of digits by which to increase the scale of the result of division operations.","pending-reboot",
"end_markers_in_json",,"0,1",true,"engine-default","dynamic","boolean","Whether optimizer JSON output should add end markers.","pending-reboot",
"eq_range_index_dive_limit",,"0-4294967295",true,"engine-default","dynamic","integer","Number of equality ranges when the optimizer should switch from using index dives to index statistics.","pending-reboot",
"explicit_defaults_for_timestamp","1","0,1",true,"system","static","boolean","Needed for 5.6.7","pending-reboot",
"flush",,"0,1",false,"engine-default","dynamic","boolean","If ON, the server flushes all changes to disk after each SQL statement.","pending-reboot",
"flush_time",,"0-31536000",true,"engine-default","dynamic","integer","Frees up resources and synchronize unflushed data to disk. Recommended only on systems with minimal resources.","pending-reboot",
"ft_boolean_syntax",,,false,"engine-default","dynamic","string","The list of operators supported by boolean full-text searches","pending-reboot",
"ft_max_word_len",,"10-84",true,"engine-default","static","integer","Maximum length of the word to be included in a FULLTEXT index.","pending-reboot",
"ft_min_word_len",,"1-84",true,"engine-default","static","integer","Minimum length of the word to be included in a FULLTEXT index.","pending-reboot",
"ft_query_expansion_limit",,"0-1000",true,"engine-default","static","integer","Number of top matches to use for full-text searches performed using WITH QUERY EXPANSION.","pending-reboot",
"ft_stopword_file",,"/dev/null",true,"engine-default","static","string","File for Full Search Stop Words. NULL uses Default, /dev/null to disable Stop Words","pending-reboot",
"general_log",,"0,1",true,"engine-default","dynamic","boolean","Whether the general query log is enabled","pending-reboot",
"general_log_file","/rdsdbdata/log/general/mysql-general.log",,false,"system","dynamic","string","Location of mysql general log.","pending-reboot",
"group_concat_max_len",,"4-18446744073709547520",true,"engine-default","dynamic","integer","Maximum allowed result length in bytes for the GROUP_CONCAT().","pending-reboot",
"histogram_generation_max_mem_size",,"1000000-18446744073709551615",true,"engine-default","dynamic","integer","The maximum amount of memory available for generating histogram statistics.","pending-reboot",
"host_cache_size",,"0-65536",true,"engine-default","dynamic","integer","The size of the internal host cache.","pending-reboot",
"information_schema_stats_expiry",,"0-31536000",true,"engine-default","dynamic","integer","The number of seconds after which mysqld server will fetch data from storage engine and replace the data in cache","pending-reboot",
"init_connect",,,true,"engine-default","dynamic","string","String to be executed by the server for each client that connects.","pending-reboot",
"innodb_adaptive_flushing",,"0,1",true,"engine-default","dynamic","boolean","Enables InnoDB Adaptive Flushing (default=on for RDS)","pending-reboot",
"innodb_adaptive_max_sleep_delay",,"0-1000000",true,"engine-default","dynamic","integer","Allows InnoDB to automatically adjust the value of innodb_thread_concurrency up or down according to the current workload.","pending-reboot",
"innodb_buffer_pool_dump_at_shutdown","0","0,1",false,"engine-default","dynamic","boolean","Specifies whether to record the pages cached in the InnoDB buffer pool when the MySQL server is shut down.","pending-reboot",
"innodb_buffer_pool_dump_now",,"0,1",false,"engine-default","dynamic","boolean","Immediately records the pages cached in the InnoDB buffer pool.","pending-reboot",
"innodb_buffer_pool_filename",,,false,"engine-default","dynamic","string","Specifies the file that holds the list of page numbers produced by innodb_buffer_pool_dump_at_shutdown or innodb_buffer_pool_dump_now.","pending-reboot",
"innodb_buffer_pool_load_abort",,"0,1",false,"engine-default","dynamic","boolean","Interrupts the process of restoring InnoDB buffer pool contents triggered by innodb_buffer_pool_load_at_startup or innodb_buffer_pool_load_now.","pending-reboot",
"innodb_buffer_pool_load_at_startup","0","0,1",false,"engine-default","static","boolean","Specifies that, on MySQL server startup, the InnoDB buffer pool is automatically warmed up by loading the same pages it held at an earlier time.","pending-reboot",
"innodb_buffer_pool_load_now",,"0,1",false,"engine-default","dynamic","boolean","Immediately warms up the InnoDB buffer pool by loading a set of data pages, without waiting for a server restart. ","pending-reboot",
"innodb_buffer_pool_size","{DBInstanceClassMemory*3/4}","335544320-9223372036854775807",true,"system","static","integer","The size in bytes of the memory buffer innodb uses to cache data and indexes of its tables","pending-reboot",
"innodb_change_buffer_max_size",,"0-50",false,"engine-default","dynamic","integer","Maximum size for the InnoDB change buffer, as a percentage of the total size of the buffer pool.","pending-reboot",
"innodb_concurrency_tickets",,"1-4294967295",true,"engine-default","dynamic","integer","Number of times a thread can enter and leave Innodb before it is subject to innodb-thread-concurrency","pending-reboot",
"innodb_deadlock_detect",,"0,1",true,"engine-default","dynamic","boolean","This option is used to disable deadlock detection. On high concurrency systems, deadlock detection can cause a slowdown when numerous threads wait for the same lock. Please consult the MySQL Documentation for more infotmation on this parameter.","pending-reboot",
"innodb_flushing_avg_loops",,"1-1000",false,"engine-default","dynamic","integer","Number of iterations for which InnoDB keeps the previously calculated snapshot of the flushing state, controlling how quickly adaptive flushing responds to changing workloads.","pending-reboot",
"innodb_flush_log_at_timeout",,"0-2700",false,"engine-default","dynamic","integer","Write and flush the logs every N seconds. This setting has an effect only when innodb_flush_log_at_trx_commit has a value of 2.","pending-reboot",
"innodb_flush_method","O_DIRECT","O_DIRECT",false,"system","static","string","Determines Innodb flush method","pending-reboot",
"innodb_flush_neighbors",,"0-2",false,"engine-default","dynamic","integer","Specifies whether flushing a page from the InnoDB buffer pool also flushes other dirty pages in the same extent.","pending-reboot",
"innodb_force_load_corrupted",,"0,1",false,"engine-default","static","boolean","Lets InnoDB load tables at startup that are marked as corrupted","pending-reboot",
"innodb_ft_aux_table",,,true,"engine-default","dynamic","string","Specifies the qualified name of an InnoDB table containing a FULLTEXT index.","pending-reboot",
"innodb_ft_cache_size",,"0-4294967295",true,"engine-default","static","integer","Size of the cache that holds a parsed document in memory while creating an InnoDB FULLTEXT index.","pending-reboot",
"innodb_ft_enable_stopword",,"0,1",true,"engine-default","dynamic","boolean","Specifies that a set of stopwords is associated with an InnoDB FULLTEXT index at the time the index is created.","pending-reboot",
"innodb_ft_server_stopword_table",,,true,"engine-default","dynamic","string","Name of the table containing a list of words to ignore when creating an InnoDB FULLTEXT index, in the format db_name/table_name.","pending-reboot",
"innodb_ft_user_stopword_table",,,true,"engine-default","dynamic","string","Name of the table containing a list of words to ignore when creating an InnoDB FULLTEXT index, in the format db_name/table_name.","pending-reboot",
"innodb_io_capacity",,"100-18446744073709551615",false,"engine-default","dynamic","integer","The maximum number of I/O operations per second that InnoDB will perform.","pending-reboot",
"innodb_io_capacity_max",,"2000-18446744073709547520",false,"engine-default","dynamic","integer","The limit up to which InnoDB is allowed to extend the innodb_io_capacity setting in case of emergency.","pending-reboot",
"innodb_lock_wait_timeout",,"1-1073741824",true,"engine-default","dynamic","integer","Timeout in seconds an innodb transaction may wait for a row lock before giving up","pending-reboot",
"innodb_log_compressed_pages",,"0,1",false,"engine-default","dynamic","boolean","Specifies whether images of re-compressed pages are stored in InnoDB redo logs. ","pending-reboot",
"innodb_lru_scan_depth",,"100-18446744073709551615",true,"engine-default","dynamic","integer","A parameter that influences the algorithms and heuristics for the flush operation for the InnoDB buffer pool.","pending-reboot",
"innodb_max_dirty_pages_pct",,"0-99",true,"engine-default","dynamic","integer","Maximum percentage of dirty pages in the buffer pool","pending-reboot",
"innodb_max_purge_lag",,"0-4294967295",true,"engine-default","dynamic","integer","Controls how to delay INSERT, UPDATE, and DELETE operations when purge operations are lagging","pending-reboot",
"innodb_max_purge_lag_delay",,"0-18446744073709551615",true,"engine-default","dynamic","integer","Specifies the maximum delay in microseconds for the delay imposed by the innodb_max_purge_lag configuration option","pending-reboot",
"innodb_monitor_disable",,,true,"engine-default","dynamic","string","Turns off one or more counters in the information_schema.innodb_metrics table.","pending-reboot",
"innodb_monitor_enable",,,true,"engine-default","dynamic","string","Turns on one or more counters in the information_schema.innodb_metrics table.","pending-reboot",
"innodb_monitor_reset",,,true,"engine-default","dynamic","string","Resets to zero the count value for one or more counters in the information_schema.innodb_metrics table.","pending-reboot",
"innodb_monitor_reset_all",,,true,"engine-default","dynamic","string","Resets all values (minimum, maximum, and so on) for one or more counters in the information_schema.innodb_metrics table.","pending-reboot",
"innodb_old_blocks_pct",,"5-95",true,"engine-default","dynamic","integer","Specifies the approximate percentage of the InnoDB buffer pool used for the old block sublist.","pending-reboot",
"innodb_old_blocks_time",,"0-4294967295",true,"engine-default","dynamic","integer","Specifies how long in milliseconds (ms) a block inserted into the old sublist must stay there after its first access before it can be moved to the new sublist.","pending-reboot",
"innodb_open_files",,"-1,10-4294967295",true,"engine-default","static","integer","Relevant only if you use multiple tablespaces in innodb. It specifies the maximum number of .ibd files that innodb can keep open at one time","pending-reboot",
"innodb_print_all_deadlocks",,"0,1",true,"engine-default","dynamic","boolean","Records information about all InnoDB deadlocks in Aurora error log.","pending-reboot",
"innodb_read_io_threads",,"1-64",false,"engine-default","static","integer","The number of I/O threads for read operations in InnoDB.","pending-reboot",
"innodb_read_only",,"0,1",false,"engine-default","static","boolean","Starts the server in read-only mode.","pending-reboot",
"innodb_replication_delay",,"0-4294967295",true,"engine-default","dynamic","integer","The replication thread delay (in ms) on a replica server if innodb_thread_concurrency is reached.","pending-reboot",
"innodb_sort_buffer_size",,"65536-67108864",true,"engine-default","static","integer","Specifies the sizes of several buffers used for sorting data during creation of an InnoDB index.","pending-reboot",
"innodb_spin_wait_pause_multiplier",,"1-100",true,"engine-default","dynamic","integer","Defines a multiplier value used to determine the number of PAUSE instructions in spin-wait loops that occur when a thread waits to acquire a mutex or rw-lock.","pending-reboot",
"innodb_stats_auto_recalc",,"0,1",true,"system","dynamic","boolean","Causes InnoDB to automatically recalculate persistent statistics after the data in a table is changed substantially.","pending-reboot",
"innodb_stats_method",,"nulls_equal,nulls_unequal,nulls_ignored",true,"engine-default","dynamic","string","How the server treats NULL values when collecting statistics about the distribution of index values for InnoDB tables.","pending-reboot",
"innodb_stats_on_metadata",,"0,1",true,"engine-default","dynamic","boolean","Controls whether table and index stats are updated when getting status information via SHOW STATUS or the INFORMATION_SCHEMA","pending-reboot",
"innodb_stats_persistent",,"OFF,ON,0,1",true,"system","dynamic","boolean","Specifies whether the InnoDB index statistics produced by the ANALYZE TABLE command are stored on disk.","pending-reboot",
"innodb_stats_persistent_sample_pages",,"0-18446744073709551615",true,"engine-default","dynamic","integer","The number of index pages to sample when estimating cardinality and other statistics for an indexed column, such as those calculated by ANALYZE TABLE.","pending-reboot",
"innodb_stats_transient_sample_pages",,"0-18446744073709551615",true,"engine-default","dynamic","integer","The number of index pages to sample when estimating cardinality and other statistics for an indexed column, such as those calculated by ANALYZE TABLE.","pending-reboot",
"innodb_status_output",,"0,1",true,"engine-default","dynamic","boolean","Enables or disables periodic output for the standard InnoDB Monitor.","pending-reboot",
"innodb_status_output_locks",,"0,1",true,"engine-default","dynamic","boolean","Enables or disables the InnoDB Lock Monitor.","pending-reboot",
"innodb_thread_concurrency",,"0-1000",false,"engine-default","dynamic","integer","The number of threads that can enter innodb concurrently","pending-reboot",
"innodb_thread_sleep_delay",,"0-9223372036854775807",true,"engine-default","dynamic","integer","How long innodb threads sleep before joining the innodb queue, in microseconds.","pending-reboot",
"innodb_use_native_aio",,"0,1",false,"engine-default","static","boolean","Controls whether or not MySQL uses Linux native asynchronous IO.","pending-reboot",
"innodb_write_io_threads",,"1-64",false,"engine-default","static","integer","The number of I/O threads for write operations in InnoDB.","pending-reboot",
"interactive_timeout",,"1-31536000",true,"engine-default","dynamic","integer","Number of seconds the server waits for activity on an interactive connection before closing it.","pending-reboot",
"internal_tmp_mem_storage_engine","TempTable","TempTable,MEMORY",true,"system","dynamic","string","Controls which in-memory storage engine is used for internal temporary tables","pending-reboot",
"join_buffer_size",,"128-18446744073709547520",true,"engine-default","dynamic","integer","Increase the value of join_buffer_size to get a faster full join when adding indexes is not possible.","pending-reboot",
"keep_files_on_create",,"0,1",true,"engine-default","dynamic","boolean","Suppress behavior to overwrite MyISAM file created in DATA DIRECTORY or INDEX DIRECTORY.","pending-reboot",
"key_buffer_size","16777216","4096-4294967295",true,"system","dynamic","integer","Increase the buffer size to get better index handling used for index blocks (for all reads and multiple writes).","pending-reboot",
"key_cache_age_threshold",,"100-18446744073709547520",true,"engine-default","dynamic","integer","Controls the demotion of buffers from the hot sub-chain of a key cache to the warm sub-chain. Lower values cause demotion to happen more quickly.","pending-reboot",
"key_cache_block_size",,"512-16384",true,"engine-default","dynamic","integer","Size in bytes of blocks in the key cache.","pending-reboot",
"key_cache_division_limit",,"1-100",true,"engine-default","dynamic","integer","The division point between the hot and warm sub-chains of the key cache buffer chain. The value is the percentage of the buffer chain to use for the warm sub-chain.","pending-reboot",
"local_infile","1","0,1",true,"system","dynamic","boolean","Controls whetther LOCAL is supported for LOAD DATA INFILE","pending-reboot",
"lock_wait_timeout",,"1-31536000",true,"engine-default","dynamic","integer","Specifies the timeout in seconds for attempts to acquire metadata locks","pending-reboot",
"log-bin","/rdsdbdata/log/binlog/mysql-bin-changelog",,false,"system","static","string","Controls binary logging.","pending-reboot",
"log_bin_trust_function_creators",,"0,1",true,"engine-default","dynamic","boolean","Enforces restrictions on stored functions / triggers - logging for replication.","pending-reboot",
"log_error","/rdsdbdata/log/error/mysql-error.log",,false,"system","static","string","Location  of error log.","pending-reboot",
"log_error_verbosity",,"1-3",true,"engine-default","dynamic","integer","Controls verbosity of the server in writing error, warning, and note messages to the error log.","pending-reboot",
"log_output","FILE","TABLE,FILE,NONE",true,"system","dynamic","string","Controls where to store query logs","pending-reboot",
"log_queries_not_using_indexes",,"0,1",true,"engine-default","dynamic","boolean","Logs queries that are expected to retrieve all rows to slow query log","pending-reboot",
"log_replica_updates","1","0,1",false,"system","static","boolean","log_replica_updates specifies whether updates received by a replica server from a replication source server should be logged to the replica's own binary log.","pending-reboot",
"log_slow_admin_statements",,"0,1",true,"engine-default","dynamic","boolean","Include slow administrative statements in the statements written to the slow query log.","pending-reboot",
"log_slow_extra",,"0,1",true,"engine-default","dynamic","boolean","When the slow query log is enabled and the output destination as FILE, additional information related to the slow query is written to the slow query log file. TABLE output is unaffected","pending-reboot",
"log_slow_replica_statements",,"0,1",true,"engine-default","dynamic","boolean","When the slow query log is enabled, this variable enables logging for queries that have taken more than long_query_time seconds to execute on the replica.","pending-reboot",
"log_throttle_queries_not_using_indexes",,"0-4294967295",true,"engine-default","dynamic","integer","Limits the number of such queries per minute that can be written to the slow query log.","pending-reboot",
"long_query_time",,"0-31536000",true,"engine-default","dynamic","float","Defines what MySQL considers long queries","pending-reboot",
"low_priority_updates",,"0,1",true,"engine-default","dynamic","boolean","INSERT, UPDATE, DELETE, and LOCK TABLE WRITE wait until no pending SELECT. Affects only storage engines that use only table-level locking (MyISAM, MEMORY, MERGE).","pending-reboot",
"max_allowed_packet",,"1024-1073741824",true,"engine-default","dynamic","integer","This value by default is small, to catch large (possibly incorrect) packets. Must be increased if using large BLOB columns or long strings. As big as largest BLOB. ","pending-reboot",
"max_binlog_cache_size",,"4096-18446744073709547520",true,"engine-default","dynamic","integer","Maximum binlog cache size a transaction may use","pending-reboot",
"max_binlog_size","134217728","4096-1073741824",false,"system","dynamic","integer","Server rotates the binlog once it reaches this size","pending-reboot",
"max_binlog_stmt_cache_size",,"4096-18446744073709547520",true,"engine-default","dynamic","integer","If nontransactional statements within a transaction require more than this many bytes of memory, the server generates an error.","pending-reboot",
"max_connect_errors",,"1-18446744073709547520",true,"engine-default","dynamic","integer","A host is blocked from further connections if there are more than this number of interrupted connections","pending-reboot",
"max_connections","GREATEST({log(DBInstanceClassMemory/805306368)*45},{log(DBInstanceClassMemory/8187281408)*1000})","1-16000",true,"system","dynamic","integer","The number of simultaneous client connections allowed.","pending-reboot",
"max_delayed_threads",,"0-16384",true,"engine-default","dynamic","integer","Do not start more than this number of threads to handle INSERT DELAYED statements.","pending-reboot",
"max_error_count",,"0-65535",true,"engine-default","dynamic","integer","The maximum number of error, warning, and note messages to be stored for display.","pending-reboot",
"max_execution_time",,"0-18446744073709551615",true,"engine-default","dynamic","integer","The execution timeout for SELECT statements, in milliseconds.","pending-reboot",
"max_heap_table_size",,"16384-1844674407370954752",true,"engine-default","dynamic","integer","Maximum size to which MEMORY tables are allowed to grow.","pending-reboot",
"max_insert_delayed_threads",,"0-16384",true,"engine-default","dynamic","integer","Synonym for max_delayed_threads","pending-reboot",
"max_join_size",,"1-18446744073709551615",true,"engine-default","dynamic","integer","Catch SELECT statements where keys are not used properly and would probably take a long time. ","pending-reboot",
"max_points_in_geometry",,"3-1048576",false,"engine-default","dynamic","integer","The maximum value of the points_per_circle argument to the ST_Buffer_Strategy() function.","pending-reboot",
"max_prepared_stmt_count",,"0-1048576",true,"engine-default","dynamic","integer","Used if the potential for denial-of-service attacks based on running the server out of memory by preparing huge numbers of statements.","pending-reboot",
"max_seeks_for_key",,"1-18446744073709547520",true,"engine-default","dynamic","integer","A low value can force MySQL to prefer indexes instead of table scans.","pending-reboot",
"max_sort_length",,"4-8388608",true,"engine-default","dynamic","integer","The number of bytes to use when sorting BLOB or TEXT values.","pending-reboot",
"max_sp_recursion_depth",,"0-255",true,"engine-default","dynamic","integer","Limits the number of times a stored procedure can be called recursively minimizing the demand on thread stack space.","pending-reboot",
"max_user_connections",,"0-4294967295",true,"engine-default","dynamic","integer","Maximum number of simultaneous connections allowed to any given MySQL account. ","pending-reboot",
"max_write_lock_count",,"1-18446744073709547520",true,"engine-default","dynamic","integer","After this many write locks, allow some pending read lock requests to be processed in between.","pending-reboot",
"min_examined_row_limit",,"0-18446744073709547520",true,"engine-default","dynamic","integer","Can be used to cause queries which examine fewer than the stated number of rows not to be logged.","pending-reboot",
"myisam_data_pointer_size",,"2-7",true,"engine-default","dynamic","integer","The default pointer size in bytes, to be used by CREATE TABLE for MyISAM tables when no MAX_ROWS option is specified.","pending-reboot",
"myisam_max_sort_file_size",,"0-9223372036853727232",true,"engine-default","dynamic","integer","The maximum size of the temporary file that MySQL is allowed to use while re-creating a MyISAM index","pending-reboot",
"myisam_mmap_size",,"7-922337203685477807",true,"engine-default","static","integer","Maximum amount of memory to use for memory mapping compressed MyISAM files","pending-reboot",
"myisam_sort_buffer_size",,"4-9223372036854775807",true,"engine-default","dynamic","integer","Size of the buffer that is allocated when sorting MyISAM indexes during a REPAIR TABLE or when creating indexes with CREATE INDEX or ALTER TABLE.","pending-reboot",
"myisam_stats_method",,"nulls_equal,nulls_unequal,nulls_ignored",true,"engine-default","dynamic","string","How the server treats NULL values when collecting statistics about the distribution of index values for MyISAM tables","pending-reboot",
"myisam_use_mmap",,"0,1",true,"engine-default","dynamic","boolean","Memory mapping for reading and writing MyISAM tables.","pending-reboot",
"net_buffer_length",,"1024-1048576",true,"engine-default","dynamic","integer","This variable should not normally be changed. For use when very little memory is available. Set it to the expected length of statements sent by clients.","pending-reboot",
"net_read_timeout",,"1-31536000",true,"engine-default","dynamic","integer","The number of seconds to wait for more data from a TCP/IP connection before aborting the read.","pending-reboot",
"net_retry_count",,"1-9223372036854775807",true,"engine-default","dynamic","integer","If a read on a communication port is interrupted, retry this many times before giving up. This value should be set quite high on freebsd because internal interrupts are sent to all threads. ","pending-reboot",
"net_write_timeout",,"1-31536000",true,"engine-default","dynamic","integer","The number of seconds to wait on TCP/IP connections for a block to be written before aborting the write. ","pending-reboot",
"old-style-user-limits",,"0,1",true,"engine-default","static","boolean","Enable old-style user limits.","pending-reboot",
"optimizer_prune_level",,"0,1",true,"engine-default","dynamic","boolean","Controls the heuristics applied during query optimization to prune less-promising partial plans from the optimizer search space.","pending-reboot",
"optimizer_search_depth",,"0-62",true,"engine-default","dynamic","integer","The maximum depth of search performed by the query optimizer.","pending-reboot",
"optimizer_switch",,"default,batched_key_access=on,batched_key_access=off,block_nested_loop=on,block_nested_loop=off,condition_fanout_filter=on,condition_fanout_filter=off,derived_condition_pushdown=on,derived_condition_pushdown=off,derived_merge=on,derived_merge=off,duplicateweedout=on,duplicateweedout=off,engine_condition_pushdown=on,engine_condition_pushdown=off,firstmatch=on,firstmatch=off,hash_join=on,hash_join=off,index_condition_pushdown=on,index_condition_pushdown=off,index_merge=on,index_merge=off,index_merge_intersection=on,index_merge_intersection=off,index_merge_sort_union=on,index_merge_sort_union=off,index_merge_union=on,index_merge_union=off,loosescan=on,loosescan=off,materialization=on,materialization=off,mrr=on,mrr=off,mrr_cost_based=on,mrr_cost_based=off,prefer_ordering_index=on,prefer_ordering_index=off,semijoin=on,semijoin=off,skip_scan=on,skip_scan=off,subquery_materialization_cost_based=on,subquery_materialization_cost_based=off,use_index_extensions=on,use_index_extensions=off,use_invisible_indexes=on,use_invisible_indexes=off",true,"engine-default","dynamic","list","Controls optimizer behavior. ","pending-reboot",
"optimizer_trace",,"enabled=on,enabled=off,one_line=on,one_line=off",true,"engine-default","dynamic","string","Controls how statements are traced.","pending-reboot",
"optimizer_trace_features",,"greedy_search=on,greedy_search=off,range_optimizer=on,range_optimizer=off,dynamic_range=on,dynamic_range=off,repeated_subselect=on,repeated_subselect=off",true,"engine-default","dynamic","string","Controls optimizations during statement tracing.","pending-reboot",
"optimizer_trace_limit",,"1-9223372036854775807",true,"engine-default","dynamic","integer","Controls the limit on trace retention.","pending-reboot",
"optimizer_trace_max_mem_size",,"0-18446744073709551615",true,"engine-default","dynamic","integer","Maximum allowed cumulated size of stored optimizer traces","pending-reboot",
"optimizer_trace_offset",,"-9223372036854775807-9223372036854775807",true,"engine-default","dynamic","integer","Controls the offset on trace retention.","pending-reboot",
"performance_schema","0","0,1",true,"system","static","boolean","Enables or disables the Performance Schema","pending-reboot",
"performance_schema_accounts_size",,"-1-1048576",true,"engine-default","static","integer","The number of rows in the Performance Schema accounts table.","pending-reboot",
"performance_schema_consumer_events_stages_current",,"0,1",true,"engine-default","static","boolean","Enable the events_stages_current consumer","pending-reboot",
"performance_schema_consumer_events_stages_history",,"0,1",true,"engine-default","static","boolean","Enable the events_stages_history consumer","pending-reboot",
"performance_schema_consumer_events_stages_history_long",,"0,1",true,"engine-default","static","boolean","Enable the events_stages_history_long consumer","pending-reboot",
"performance_schema_consumer_events_statements_current",,"0,1",true,"engine-default","static","boolean","Enable the events_statements_current consumer","pending-reboot",
"performance_schema_consumer_events_statements_history",,"0,1",true,"engine-default","static","boolean","Enable the events_statements_history consumer","pending-reboot",
"performance_schema_consumer_events_statements_history_long",,"0,1",true,"engine-default","static","boolean","Enable the events_statements_history_long consumer","pending-reboot",
"performance-schema-consumer-events-waits-current",,"ON,OFF",true,"engine-default","static","string","Configure the events-waits-current consumer.","pending-reboot",
"performance_schema_consumer_events_waits_history",,"0,1",true,"engine-default","static","boolean","Enable the events_waits_history consumer","pending-reboot",
"performance_schema_consumer_events_waits_history_long",,"0,1",true,"engine-default","static","boolean","Enable the events_waits_history_long consumer","pending-reboot",
"performance_schema_consumer_global_instrumentation",,"0,1",true,"engine-default","static","boolean","Enable the global instrumentation consumer","pending-reboot",
"performance_schema_consumer_statements_digest",,"0,1",true,"engine-default","static","boolean","Enable the statements_digest consumer","pending-reboot",
"performance_schema_consumer_thread_instrumentation",,"0,1",true,"engine-default","static","boolean","Enable the thread instrumentation consumer","pending-reboot",
"performance_schema_digests_size",,"-1-1048576",true,"engine-default","static","integer","The maximum number of rows in the events_statements_summary_by_digest table.","pending-reboot",
"performance_schema_events_stages_history_long_size",,"-1-1048576",true,"engine-default","static","integer","The number of rows in the events_stages_history_long table.","pending-reboot",
"performance_schema_events_stages_history_size",,"-1-1024",true,"engine-default","static","integer","The number of rows per thread in the events_stages_history table.","pending-reboot",
"performance_schema_events_statements_history_long_size",,"-1-1048576",true,"engine-default","static","integer","The number of rows in the events_statements_history_long table.","pending-reboot",
"performance_schema_events_statements_history_size",,"-1-1024",true,"engine-default","static","integer","The number of rows per thread in the events_statements_history table.","pending-reboot",
"performance_schema_events_transactions_history_long_size",,"-1-1048576",true,"engine-default","static","integer","The number of rows in the events_transactions_history_long table.","pending-reboot",
